date,cases,admissions,deaths
01/04/2020,13.9,6,0
02/04/2020,15.4,5.9,0
03/04/2020,14.9,5.7,0.3
04/04/2020,15,5.3,0.3
05/04/2020,15.3,6.7,0.2
06/04/2020,17,7.1,0.2
07/04/2020,15.1,7.9,0.3
08/04/2020,15.6,9.9,0.3
09/04/2020,15.1,11.6,0.3
10/04/2020,24,12.1,0.1
11/04/2020,25.4,13.9,0.3
12/04/2020,27.1,13.6,0.3
13/04/2020,34.7,13.1,0.6
14/04/2020,36.9,13.3,0.4
15/04/2020,43.1,12.9,0.7
16/04/2020,50.4,13.4,0.7
17/04/2020,45.6,14.7,1
18/04/2020,48.3,14.1,0.9
19/04/2020,46.6,13.7,0.9
20/04/2020,42.3,14.6,0.6
21/04/2020,44,16.4,0.6
22/04/2020,39.9,15.9,0.3
23/04/2020,34,16,0.3
24/04/2020,34.3,14.7,0
25/04/2020,32.7,14.9,0.1
26/04/2020,44.3,15.1,0.3
27/04/2020,41.9,14.4,0.6
28/04/2020,45.7,13.3,0.7
29/04/2020,56.3,13.6,0.9
30/04/2020,59.6,12.3,1.1
01/05/2020,57,12.9,1.4
02/05/2020,56.4,12.9,1.3
03/05/2020,47.6,14.3,1.1
04/05/2020,48.1,17.1,1.1
05/05/2020,44.9,21.4,1.1
06/05/2020,38.3,22.4,1
07/05/2020,37.9,25.6,0.7
08/05/2020,39.9,26.7,0.7
09/05/2020,40.7,26.4,0.9
10/05/2020,41.1,24.9,0.9
11/05/2020,46,24.1,0.9
12/05/2020,50.3,19.6,0.7
13/05/2020,57.3,19.6,0.7
14/05/2020,64.4,18.1,0.9
15/05/2020,71.9,19.7,0.6
16/05/2020,73.1,19.9,0.9
17/05/2020,71.4,20.1,1.1
18/05/2020,74.6,19.1,1.1
19/05/2020,75.6,20.1,1.4
20/05/2020,72.7,20.9,1.4
21/05/2020,76.9,21,1.3
22/05/2020,102.7,22,1.3
23/05/2020,121.9,24.3,1
24/05/2020,128.4,25,0.9
25/05/2020,136.7,27.4,1.1
26/05/2020,153,32.1,1.3
27/05/2020,167.7,34.4,1.7
28/05/2020,183.3,40.6,1.7
29/05/2020,182.4,48,2.3
30/05/2020,186.3,52.3,2.3
31/05/2020,204.7,60.7,2.7
01/06/2020,237.9,67.6,3
02/06/2020,263.9,73.6,3.7
03/06/2020,296.4,79.1,3.9
04/06/2020,323.6,81.7,4.6
05/06/2020,346.4,81.3,4.4
06/06/2020,372,83.7,5.1
07/06/2020,384.7,82.9,6
08/06/2020,456,87.6,6.4
09/06/2020,534.6,95.7,6
10/06/2020,621.4,104.4,8
11/06/2020,751.3,114.1,8.3
12/06/2020,891.1,123,9.6
13/06/2020,976.3,130.6,11
14/06/2020,1038.3,138.7,12.1
15/06/2020,1224.3,150.7,13
16/06/2020,1398.6,155.3,14.3
17/06/2020,1496.6,169.1,15.1
18/06/2020,1634.1,190,17.3
19/06/2020,1754.9,211,19
20/06/2020,1856.3,247.9,21.1
21/06/2020,1902.9,265.6,21.6
22/06/2020,1961.9,287.9,24.4
23/06/2020,2087.4,309,28.3
24/06/2020,2338.1,327.3,32.7
25/06/2020,2499.3,329.6,36.6
26/06/2020,2697.4,347.9,40.1
27/06/2020,2805.7,342.6,44
28/06/2020,2947.9,346.9,49
29/06/2020,3180.1,357.3,50
30/06/2020,3492.1,368.9,51
01/07/2020,3722.1,385.6,50.9
02/07/2020,3977.9,406.3,56
03/07/2020,4124.6,417.4,59.3
04/07/2020,4232.9,429.4,63.4
05/07/2020,4317.9,447.1,65.3
06/07/2020,4411.3,473.6,71.9
07/07/2020,4511.6,492.7,78
08/07/2020,4562.7,493.9,81.7
09/07/2020,4595.3,503,80.9
10/07/2020,4742,505.7,83
11/07/2020,4770.3,498.1,84.7
12/07/2020,4703.3,494.3,86.7
13/07/2020,4788,498.4,89.7
14/07/2020,4763.6,496.4,93.4
15/07/2020,4690.6,508.6,97.6
16/07/2020,4541,506.4,100.6
17/07/2020,4350.6,506.6,104.6
18/07/2020,4324.3,507,105
19/07/2020,4327.4,508.6,106.3
20/07/2020,4225.1,498.3,107.1
21/07/2020,4091.9,495.7,105.3
22/07/2020,3966.1,480.7,103.1
23/07/2020,3858.9,476,104
24/07/2020,3711.6,464.4,104.4
25/07/2020,3523.4,457.3,101.9
26/07/2020,3367.4,446.7,102.6
27/07/2020,3163.7,439.1,100.3
28/07/2020,2927.1,428,98.1
29/07/2020,2771,419.6,100.4
30/07/2020,2619.3,406.1,99.6
31/07/2020,2473,399.9,94
01/08/2020,2366,397.3,94.7
02/08/2020,2320,391.1,92
03/08/2020,2187.9,381.3,86.6
04/08/2020,2037.7,364.1,85.6
05/08/2020,1879.1,348.3,80.1
06/08/2020,1744.9,337.9,76.3
07/08/2020,1644.1,318.6,75.1
08/08/2020,1571.6,300.7,71.9
09/08/2020,1524.1,285.4,68.6
10/08/2020,1371,252.7,68.6
11/08/2020,1290.4,248.9,65.7
12/08/2020,1204.3,244,63
13/08/2020,1153.7,232.7,59.9
14/08/2020,1081.6,223.3,57.7
15/08/2020,1062.9,214.6,55
16/08/2020,1058.6,209.6,53.6
17/08/2020,1023,210.3,53.1
18/08/2020,942.3,196.1,51.1
19/08/2020,885.9,183.9,49.3
20/08/2020,802.9,175.9,48
21/08/2020,762,171.1,46
22/08/2020,754.7,171.3,44
23/08/2020,728.7,167.9,43.9
24/08/2020,698.9,161,41.6
25/08/2020,652.9,156.9,41.4
26/08/2020,624.9,149.9,40.7
27/08/2020,603.3,142.4,39.1
28/08/2020,555.4,136.3,38.9
29/08/2020,523,131.1,39.1
30/08/2020,516,129.7,35.3
31/08/2020,477.3,124.1,33.3
01/09/2020,455.4,120.4,30.6
02/09/2020,431.1,118.1,29.9
03/09/2020,405.7,114.7,29.1
04/09/2020,388.7,113.4,28.1
05/09/2020,386.7,110.3,26.6
06/09/2020,380.9,105.4,27
07/09/2020,360.4,98.4,26.6
08/09/2020,346.1,90.4,26.3
09/09/2020,326.3,89.6,24.6
10/09/2020,319.3,92.6,23.6
11/09/2020,313,88.6,21.1
12/09/2020,302.9,86.3,20.1
13/09/2020,298.4,83.7,19.6
14/09/2020,290.4,84.3,17.9
15/09/2020,294,87.6,18
16/09/2020,305.1,87,18
